-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891757 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471169 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #172 (257 bp)...done!
Finding genes in sequence #173 (256 bp)...done!
Finding genes in sequence #174 (256 bp)...done!
Finding genes in sequence #175 (256 bp)...done!
Finding genes in sequence #176 (256 bp)...done!
Finding genes in sequence #177 (256 bp)...done!
Finding genes in sequence #178 (255 bp)...done!
Finding genes in sequence #179 (255 bp)...done!
Finding genes in sequence #180 (255 bp)...done!
Finding genes in sequence #181 (254 bp)...done!
Finding genes in sequence #182 (254 bp)...done!
Finding genes in sequence #183 (254 bp)...done!
Finding genes in sequence #184 (253 bp)...done!
Finding genes in sequence #185 (253 bp)...done!
Finding genes in sequence #186 (253 bp)...done!
Finding genes in sequence #187 (253 bp)...done!
Finding genes in sequence #188 (253 bp)...done!
Finding genes in sequence #189 (253 bp)...done!
Finding genes in sequence #190 (252 bp)...done!
Finding genes in sequence #191 (252 bp)...done!
Finding genes in sequence #192 (252 bp)...done!
Finding genes in sequence #193 (251 bp)...done!
Finding genes in sequence #194 (250 bp)...done!
Finding genes in sequence #195 (250 bp)...done!
Finding genes in sequence #196 (250 bp)...done!
Finding genes in sequence #197 (250 bp)...done!
Finding genes in sequence #198 (250 bp)...done!
Finding genes in sequence #199 (249 bp)...done!
Finding genes in sequence #200 (249 bp)...done!
Finding genes in sequence #201 (248 bp)...done!
Finding genes in sequence #202 (248 bp)...done!
Finding genes in sequence #203 (248 bp)...done!
Finding genes in sequence #204 (248 bp)...done!
Finding genes in sequence #205 (248 bp)...done!
Finding genes in sequence #206 (247 bp)...done!
Finding genes in sequence #207 (247 bp)...done!
Finding genes in sequence #208 (247 bp)...done!
Finding genes in sequence #209 (246 bp)...done!
Finding genes in sequence #210 (246 bp)...done!
Finding genes in sequence #211 (246 bp)...done!
Finding genes in sequence #212 (246 bp)...done!
Finding genes in sequence #213 (245 bp)...done!
Finding genes in sequence #214 (245 bp)...done!
Finding genes in sequence #215 (245 bp)...done!
Finding genes in sequence #216 (244 bp)...done!
