#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_155_length_11260_cov_2.706458_1  -            540 46726at72274         -            190     1e-35  121.9   2.8   1   4      0.38        18    3.7   0.0    10    37    27    57    21    71 0.80 # 1 # 1620 # -1 # ID=155_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_155_length_11260_cov_2.706458_1  -            540 46726at72274         -            190     1e-35  121.9   2.8   2   4     5e-15   2.3e-13   48.9   0.0    82   170   155   248   137   256 0.81 # 1 # 1620 # -1 # ID=155_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_155_length_11260_cov_2.706458_1  -            540 46726at72274         -            190     1e-35  121.9   2.8   3   4   5.6e-05    0.0026   16.2   0.0     9    47   298   339   293   345 0.86 # 1 # 1620 # -1 # ID=155_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_155_length_11260_cov_2.706458_1  -            540 46726at72274         -            190     1e-35  121.9   2.8   4   4   2.2e-15     1e-13   50.1   0.1    66   169   402   510   398   519 0.83 # 1 # 1620 # -1 # ID=155_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_52_length_48122_cov_2.777602_31  -            520 46726at72274         -            190   4.1e-34  116.7   3.1   1   4   3.3e-10   1.5e-08   33.2   0.0     9    77    41   111    38   127 0.82 # 30668 # 32227 # -1 # ID=52_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_52_length_48122_cov_2.777602_31  -            520 46726at72274         -            190   4.1e-34  116.7   3.1   2   4   6.9e-06   0.00032   19.1   0.0    79   152   157   233   139   240 0.85 # 30668 # 32227 # -1 # ID=52_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_52_length_48122_cov_2.777602_31  -            520 46726at72274         -            190   4.1e-34  116.7   3.1   3   4      0.36        17    3.7   0.1    12    49   293   333   284   340 0.81 # 30668 # 32227 # -1 # ID=52_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_52_length_48122_cov_2.777602_31  -            520 46726at72274         -            190   4.1e-34  116.7   3.1   4   4   8.5e-18     4e-16   58.0   0.0    69   154   401   489   382   493 0.83 # 30668 # 32227 # -1 # ID=52_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_39_length_54689_cov_2.771214_30  -            526 46726at72274         -            190   3.4e-32  110.4   3.1   1   3   0.00067     0.031   12.7   0.0    14    50    29    65    17    87 0.83 # 34193 # 35770 # 1 # ID=39_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_39_length_54689_cov_2.771214_30  -            526 46726at72274         -            190   3.4e-32  110.4   3.1   2   3   4.7e-14   2.2e-12   45.8   0.0    78   143   136   201   111   212 0.87 # 34193 # 35770 # 1 # ID=39_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_39_length_54689_cov_2.771214_30  -            526 46726at72274         -            190   3.4e-32  110.4   3.1   3   3   2.2e-14     1e-12   46.8   0.4    19   142   366   512   356   518 0.75 # 34193 # 35770 # 1 # ID=39_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_84_length_27424_cov_2.668791_23  -            511 46726at72274         -            190   1.4e-31  108.4   1.5   1   4   1.5e-06   6.8e-05   21.3   0.0     7    47    20    63    16    95 0.87 # 21648 # 23180 # 1 # ID=84_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
