-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891420 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471114 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #241 (235 bp)...done!
Finding genes in sequence #242 (234 bp)...done!
Finding genes in sequence #243 (234 bp)...done!
Finding genes in sequence #244 (234 bp)...done!
Finding genes in sequence #245 (234 bp)...done!
Finding genes in sequence #246 (234 bp)...done!
Finding genes in sequence #247 (233 bp)...done!
Finding genes in sequence #248 (233 bp)...done!
Finding genes in sequence #249 (233 bp)...done!
Finding genes in sequence #250 (233 bp)...done!
Finding genes in sequence #251 (232 bp)...done!
Finding genes in sequence #252 (232 bp)...done!
Finding genes in sequence #253 (232 bp)...done!
Finding genes in sequence #254 (232 bp)...done!
Finding genes in sequence #255 (232 bp)...done!
Finding genes in sequence #256 (231 bp)...done!
Finding genes in sequence #257 (231 bp)...done!
Finding genes in sequence #258 (231 bp)...done!
Finding genes in sequence #259 (231 bp)...done!
Finding genes in sequence #260 (230 bp)...done!
Finding genes in sequence #261 (230 bp)...done!
Finding genes in sequence #262 (230 bp)...done!
Finding genes in sequence #263 (229 bp)...done!
Finding genes in sequence #264 (229 bp)...done!
Finding genes in sequence #265 (229 bp)...done!
Finding genes in sequence #266 (229 bp)...done!
Finding genes in sequence #267 (229 bp)...done!
Finding genes in sequence #268 (227 bp)...done!
Finding genes in sequence #269 (221 bp)...done!
Finding genes in sequence #270 (221 bp)...done!
Finding genes in sequence #271 (221 bp)...done!
Finding genes in sequence #272 (220 bp)...done!
Finding genes in sequence #273 (214 bp)...done!
Finding genes in sequence #274 (212 bp)...done!
Finding genes in sequence #275 (210 bp)...done!
Finding genes in sequence #276 (208 bp)...done!
Finding genes in sequence #277 (207 bp)...done!
Finding genes in sequence #278 (207 bp)...done!
Finding genes in sequence #279 (206 bp)...done!
Finding genes in sequence #280 (205 bp)...done!
Finding genes in sequence #281 (204 bp)...done!
Finding genes in sequence #282 (201 bp)...done!
Finding genes in sequence #283 (199 bp)...done!
Finding genes in sequence #284 (198 bp)...done!
Finding genes in sequence #285 (198 bp)...done!
Finding genes in sequence #286 (196 bp)...done!
Finding genes in sequence #287 (195 bp)...done!
Finding genes in sequence #288 (195 bp)...done!
Finding genes in sequence #289 (194 bp)...done!
Finding genes in sequence #290 (194 bp)...done!
Finding genes in sequence #291 (194 bp)...done!
Finding genes in sequence #292 (194 bp)...done!
Finding genes in sequence #293 (193 bp)...done!
Finding genes in sequence #294 (192 bp)...done!
Finding genes in sequence #295 (192 bp)...done!
Finding genes in sequence #296 (191 bp)...done!
Finding genes in sequence #297 (188 bp)...done!
Finding genes in sequence #298 (187 bp)...done!
Finding genes in sequence #299 (186 bp)...done!
Finding genes in sequence #300 (185 bp)...done!
Finding genes in sequence #301 (183 bp)...done!
Finding genes in sequence #302 (182 bp)...done!
Finding genes in sequence #303 (181 bp)...done!
Finding genes in sequence #304 (181 bp)...done!
Finding genes in sequence #305 (181 bp)...done!
Finding genes in sequence #306 (178 bp)...done!
Finding genes in sequence #307 (175 bp)...done!
Finding genes in sequence #308 (171 bp)...done!
Finding genes in sequence #309 (171 bp)...done!
Finding genes in sequence #310 (170 bp)...done!
Finding genes in sequence #311 (170 bp)...done!
Finding genes in sequence #312 (170 bp)...done!
Finding genes in sequence #313 (170 bp)...done!
Finding genes in sequence #314 (169 bp)...done!
Finding genes in sequence #315 (167 bp)...done!
Finding genes in sequence #316 (166 bp)...done!
Finding genes in sequence #317 (165 bp)...done!
Finding genes in sequence #318 (165 bp)...done!
Finding genes in sequence #319 (165 bp)...done!
Finding genes in sequence #320 (165 bp)...done!
Finding genes in sequence #321 (163 bp)...done!
Finding genes in sequence #322 (162 bp)...done!
Finding genes in sequence #323 (162 bp)...done!
Finding genes in sequence #324 (162 bp)...done!
Finding genes in sequence #325 (161 bp)...done!
Finding genes in sequence #326 (161 bp)...done!
Finding genes in sequence #327 (160 bp)...done!
Finding genes in sequence #328 (159 bp)...done!
Finding genes in sequence #329 (158 bp)...done!
Finding genes in sequence #330 (157 bp)...done!
Finding genes in sequence #331 (157 bp)...done!
Finding genes in sequence #332 (157 bp)...done!
