#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_30_length_79514_cov_31.910724_17   -            555 46726at72274         -            190   8.8e-37  125.3   0.3   4   4   6.4e-09     3e-07   29.0   0.0    78   145   438   505   432   518 0.87 # 20328 # 21992 # 1 # ID=30_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
NODE_43_length_58110_cov_31.497570_16   -            535 46726at72274         -            190   1.7e-36  124.4   3.7   1   4     0.039       1.9    6.9   0.0     5    40    22    60    19    85 0.86 # 17821 # 19425 # -1 # ID=43_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_43_length_58110_cov_31.497570_16   -            535 46726at72274         -            190   1.7e-36  124.4   3.7   2   4   3.5e-18   1.6e-16   59.2   0.4    83   159   156   235   118   256 0.83 # 17821 # 19425 # -1 # ID=43_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_43_length_58110_cov_31.497570_16   -            535 46726at72274         -            190   1.7e-36  124.4   3.7   3   4     0.017       0.8    8.1   0.0    12    63   305   361   295   371 0.71 # 17821 # 19425 # -1 # ID=43_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_43_length_58110_cov_31.497570_16   -            535 46726at72274         -            190   1.7e-36  124.4   3.7   4   4     9e-15   4.3e-13   48.1   0.0    79   155   419   499   399   519 0.80 # 17821 # 19425 # -1 # ID=43_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_57_length_46154_cov_33.620066_19   -            524 46726at72274         -            190   4.4e-36  123.1   7.3   1   4      0.04       1.9    6.8   0.0     7    58    19    73    15   109 0.80 # 20500 # 22071 # 1 # ID=57_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_57_length_46154_cov_33.620066_19   -            524 46726at72274         -            190   4.4e-36  123.1   7.3   2   4   3.9e-17   1.9e-15   55.8   1.2    79   154   146   225   125   242 0.82 # 20500 # 22071 # 1 # ID=57_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_57_length_46154_cov_33.620066_19   -            524 46726at72274         -            190   4.4e-36  123.1   7.3   3   4    0.0045      0.21    9.9   0.0     8    49   294   337   287   362 0.76 # 20500 # 22071 # 1 # ID=57_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_57_length_46154_cov_33.620066_19   -            524 46726at72274         -            190   4.4e-36  123.1   7.3   4   4   9.5e-16   4.5e-14   51.3   0.0    78   171   411   509   388   522 0.76 # 20500 # 22071 # 1 # ID=57_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_62_length_38083_cov_30.681778_17   -            540 46726at72274         -            190   6.7e-36  122.5   1.3   1   4     0.021         1    7.7   0.0     8    39    24    58    19    70 0.80 # 16250 # 17869 # -1 # ID=62_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_62_length_38083_cov_30.681778_17   -            540 46726at72274         -            190   6.7e-36  122.5   1.3   2   4   5.7e-15   2.7e-13   48.7   0.1    80   155   151   230   133   241 0.86 # 16250 # 17869 # -1 # ID=62_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_62_length_38083_cov_30.681778_17   -            540 46726at72274         -            190   6.7e-36  122.5   1.3   3   4   7.3e-05    0.0035   15.8   0.0     6    49   288   334   285   359 0.86 # 16250 # 17869 # -1 # ID=62_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_62_length_38083_cov_30.681778_17   -            540 46726at72274         -            190   6.7e-36  122.5   1.3   4   4   4.5e-14   2.1e-12   45.8   0.0    62   167   392   503   382   523 0.81 # 16250 # 17869 # -1 # ID=62_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_97_length_11214_cov_30.450310_1    -            540 46726at72274         -            190     1e-35  121.9   2.8   1   4      0.37        18    3.7   0.0    10    37    27    57    21    71 0.80 # 1 # 1620 # -1 # ID=97_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_97_length_11214_cov_30.450310_1    -            540 46726at72274         -            190     1e-35  121.9   2.8   2   4   4.9e-15   2.3e-13   48.9   0.0    82   170   155   248   137   256 0.81 # 1 # 1620 # -1 # ID=97_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_97_length_11214_cov_30.450310_1    -            540 46726at72274         -            190     1e-35  121.9   2.8   3   4   5.5e-05    0.0026   16.2   0.0     9    47   298   339   293   345 0.86 # 1 # 1620 # -1 # ID=97_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_97_length_11214_cov_30.450310_1    -            540 46726at72274         -            190     1e-35  121.9   2.8   4   4   2.1e-15     1e-13   50.1   0.1    66   169   402   510   398   519 0.83 # 1 # 1620 # -1 # ID=97_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_20_length_105322_cov_31.678357_32  -            520 46726at72274         -            190     4e-34  116.7   3.1   1   4   3.2e-10   1.5e-08   33.2   0.0     9    77    41   111    38   127 0.82 # 31140 # 32699 # -1 # ID=20_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_20_length_105322_cov_31.678357_32  -            520 46726at72274         -            190     4e-34  116.7   3.1   2   4   6.8e-06   0.00032   19.1   0.0    79   152   157   233   139   240 0.85 # 31140 # 32699 # -1 # ID=20_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_20_length_105322_cov_31.678357_32  -            520 46726at72274         -            190     4e-34  116.7   3.1   3   4      0.36        17    3.7   0.1    12    49   293   333   284   340 0.81 # 31140 # 32699 # -1 # ID=20_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_20_length_105322_cov_31.678357_32  -            520 46726at72274         -            190     4e-34  116.7   3.1   4   4   8.4e-18     4e-16   58.0   0.0    69   154   401   489   382   493 0.83 # 31140 # 32699 # -1 # ID=20_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_11_length_139671_cov_32.288504_18  -            526 46726at72274         -            190   3.4e-32  110.4   3.1   1   3   0.00066     0.031   12.7   0.0    14    50    29    65    17    87 0.83 # 18877 # 20454 # -1 # ID=11_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_11_length_139671_cov_32.288504_18  -            526 46726at72274         -            190   3.4e-32  110.4   3.1   2   3   4.7e-14   2.2e-12   45.8   0.0    78   143   136   201   111   212 0.87 # 18877 # 20454 # -1 # ID=11_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_11_length_139671_cov_32.288504_18  -            526 46726at72274         -            190   3.4e-32  110.4   3.1   3   3   2.2e-14     1e-12   46.8   0.4    19   142   366   512   356   518 0.75 # 18877 # 20454 # -1 # ID=11_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_9_length_146128_cov_31.603137_97   -            511 46726at72274         -            190   1.4e-31  108.4   1.5   1   4   1.4e-06   6.8e-05   21.3   0.0     7    47    20    63    16    95 0.87 # 124411 # 125943 # -1 # ID=9_97;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_9_length_146128_cov_31.603137_97   -            511 46726at72274         -            190   1.4e-31  108.4   1.5   2   4     4e-08   1.9e-06   26.4   0.0    78   154   137   216   114   224 0.87 # 124411 # 125943 # -1 # ID=9_97;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_9_length_146128_cov_31.603137_97   -            511 46726at72274         -            190   1.4e-31  108.4   1.5   3   4       2.9   1.4e+02    0.8   0.0    17    48   284   315   272   329 0.81 # 124411 # 125943 # -1 # ID=9_97;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_9_length_146128_cov_31.603137_97   -            511 46726at72274         -            190   1.4e-31  108.4   1.5   4   4   5.2e-17   2.4e-15   55.4   0.1    78   154   395   474   380   487 0.87 # 124411 # 125943 # -1 # ID=9_97;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_17_length_110079_cov_30.099496_93  -            263 46726at72274         -            190   3.2e-30  103.9   0.0   1   2   2.1e-06   9.8e-05   20.8   0.0    17    51    36    70    20    92 0.85 # 99187 # 99975 # 1 # ID=17_93;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.625
